algorithm,descriptors,training_set,word_embedding,MRR
custom,atm,googleplay,wm,0.795891209
atm,atm,blogs,wm,0.765481182
custom,intersection,android,wm,0.753000643
atm,atm,android,glove,0.743761527
custom,intersection,blogs,wm,0.737152236
atm,atm,blogs,glove,0.731905447
custom,atm,standard,glove,0.727418581
atm,atm,empty,edit_distance,0.724195261
custom,craftdroid,android,glove,0.718520569
custom,intersection,android,w2v,0.715307536
atm,union,googleplay,wm,0.711545005
atm,intersection,googleplay,fast,0.706564102
craftdroid,intersection,blogs,wm,0.702863533
craftdroid,union,standard,use,0.69864767
craftdroid,intersection,empty,edit_distance,0.692252605
craftdroid,union,googleplay,w2v,0.686948618
atm,union,empty,jaccard,0.677339866
craftdroid,union,standard,fast,0.669310221
craftdroid,craftdroid,android,glove,0.659195893
atm,union,standard,w2v,0.644601896
atm,union,googleplay,fast,0.623817458
atm,craftdroid,empty,edit_distance,0.6002352
