algorithm,descriptors,training_set,word_embedding,MRR
custom,craftdroid,googleplay,wm,0.77049275
custom,union,standard,nnlm,0.758780152
custom,union,empty,jaccard,0.746854179
custom,atm,empty,jaccard,0.738217364
craftdroid,intersection,googleplay,wm,0.734073045
custom,atm,blogs,glove,0.728303551
custom,union,android,fast,0.725177057
atm,intersection,standard,w2v,0.719731927
atm,atm,standard,bert,0.716390687
craftdroid,intersection,blogs,glove,0.712780967
craftdroid,intersection,standard,glove,0.708067001
atm,craftdroid,standard,nnlm,0.703984045
craftdroid,atm,googleplay,glove,0.699433463
craftdroid,craftdroid,googleplay,wm,0.6958901
craftdroid,union,android,wm,0.687914653
craftdroid,union,standard,glove,0.680979207
craftdroid,atm,empty,jaccard,0.672377942
craftdroid,craftdroid,standard,fast,0.662329862
craftdroid,union,empty,edit_distance,0.651155247
atm,craftdroid,googleplay,fast,0.630133322
atm,union,blogs,w2v,0.608454662
