algorithm,descriptors,training_set,word_embedding,top1,MRR
custom,union,android,wm,217,0.7676493
custom,craftdroid,standard,nnlm,207,0.751732256
custom,atm,android,fast,193,0.742275097
atm,intersection,blogs,wm,188,0.734133309
custom,union,blogs,fast,191,0.727772854
craftdroid,atm,standard,use,191,0.724117961
craftdroid,atm,android,fast,181,0.717181126
craftdroid,atm,android,glove,180,0.713065646
craftdroid,atm,standard,w2v,180,0.707339707
custom,craftdroid,android,w2v,164,0.702787713
craftdroid,atm,blogs,fast,176,0.696524909
craftdroid,atm,standard,bert,176,0.689822069
craftdroid,craftdroid,blogs,glove,168,0.682905046
atm,union,android,wm,147,0.67585216
adaptdroid,intersection,standard,wm,179,0.66581957
adaptdroid,atm,blogs,w2v,172,0.65829432
adaptdroid,craftdroid,standard,nnlm,172,0.65026143
atm,union,standard,w2v,146,0.644601896
atm,craftdroid,blogs,glove,140,0.630878242
atm,craftdroid,blogs,w2v,137,0.622766432
adaptdroid,union,android,fast,154,0.61259537
adaptdroid,atm,standard,bert,153,0.59975456
