algorithm,descriptors,training_set,word_embedding,top1,MRR
custom,atm,blogs,wm,218,0.774058665
custom,union,standard,nnlm,218,0.758780152
custom,craftdroid,googleplay,w2v,187,0.744862989
custom,intersection,standard,w2v,186,0.735482299
custom,craftdroid,standard,fast,182,0.729393994
custom,union,android,fast,187,0.725177057
custom,craftdroid,standard,w2v,175,0.718624775
custom,union,blogs,glove,180,0.715058713
atm,atm,blogs,fast,173,0.708729316
atm,craftdroid,standard,nnlm,164,0.703984045
craftdroid,intersection,standard,w2v,173,0.698873314
atm,union,standard,wm,157,0.692245526
atm,intersection,android,fast,161,0.684519306
atm,union,empty,jaccard,143,0.677339866
craftdroid,union,standard,fast,167,0.669310221
atm,union,android,glove,155,0.659782944
adaptdroid,atm,blogs,fast,171,0.65332667
adaptdroid,intersection,blogs,fast,166,0.6472183
adaptdroid,union,googleplay,w2v,159,0.63622568
adaptdroid,union,empty,jaccard,152,0.62677891
adaptdroid,intersection,android,glove,154,0.61768065
adaptdroid,intersection,empty,edit_distance,144,0.60526742
adaptdroid,craftdroid,standard,bert,134,0.55847709
